a,b,c
GRN,/997/8/343/1065/354/370/1048/,Gigantocellular reticular nucleus
ISN,/997/8/343/1065/354/370/106/,Inferior salivatory nucleus
PPY,/997/8/343/1065/354/370/1069/,Parapyramidal nucleus
AMB,/997/8/343/1065/354/370/135/,Nucleus ambiguus
IRN,/997/8/343/1065/354/370/136/,Intermediate reticular nucleus
PHY,/997/8/343/1065/354/370/154/,Perihypoglossal nuclei
LIN,/997/8/343/1065/354/370/203/,Linear nucleus of the medulla
LRN,/997/8/343/1065/354/370/235/,Lateral reticular nucleus
MARN,/997/8/343/1065/354/370/307/,Magnocellular reticular nucleus
ICB,/997/8/343/1065/354/370/372/,Infracerebellar nucleus
MDRN,/997/8/343/1065/354/370/395/,Medullary reticular nucleus
ACVII,/997/8/343/1065/354/370/576/,Accessory facial motor nucleus
VI,/997/8/343/1065/354/370/653/,Abducens nucleus
VII,/997/8/343/1065/354/370/661/,Facial motor nucleus
VNC,/997/8/343/1065/354/370/701/,Vestibular nuclei
x,/997/8/343/1065/354/370/765/,Nucleus x
XII,/997/8/343/1065/354/370/773/,Hypoglossal nucleus
y,/997/8/343/1065/354/370/781/,Nucleus y
IO,/997/8/343/1065/354/370/83/,Inferior olivary complex
DMX,/997/8/343/1065/354/370/839/,Dorsal motor nucleus of the vagus nerve
PARN,/997/8/343/1065/354/370/852/,Parvicellular reticular nucleus
PAS,/997/8/343/1065/354/370/859/,Parasolitary nucleus
PGRN,/997/8/343/1065/354/370/938/,Paragigantocellular reticular nucleus
RM,/997/8/343/1065/354/379/206/,Nucleus raphe magnus
RO,/997/8/343/1065/354/379/222/,Nucleus raphe obscurus
RPA,/997/8/343/1065/354/379/230/,Nucleus raphe pallidus
AP,/997/8/343/1065/354/386/207/,Area postrema
SPVC,/997/8/343/1065/354/386/429/,"Spinal nucleus of the trigeminal, caudal part"
SPVI,/997/8/343/1065/354/386/437/,"Spinal nucleus of the trigeminal, interpolar part"
SPVO,/997/8/343/1065/354/386/445/,"Spinal nucleus of the trigeminal, oral part"
Pa5,/997/8/343/1065/354/386/589508451/,Paratrigeminal nucleus
CN,/997/8/343/1065/354/386/607/,Cochlear nuclei
NTB,/997/8/343/1065/354/386/642/,Nucleus of the trapezoid body
NTS,/997/8/343/1065/354/386/651/,Nucleus of the solitary tract
DCN,/997/8/343/1065/354/386/720/,Dorsal column nuclei
ECU,/997/8/343/1065/354/386/903/,External cuneate nucleus
PRNr,/997/8/343/1065/771/1117/146/,Pontine reticular nucleus
